"bound_label","r2dz.x","r2yz.dx","treatment","adjusted_estimate","adjusted_se","adjusted_t","adjusted_lower_CI","adjusted_upper_CI"
"1x poverty_category4",0.0575697470311869,0.000467882901846564,"insured_private",0.174992503169051,0.0142492905246056,12.2807870937065,0.147061918261924,0.202923088076178
"2x poverty_category4",0.115139494062374,0.000942350325933119,"insured_private",0.165756939990971,0.0147020312975218,11.2744243728356,0.136938920402305,0.194574959579637
"3x poverty_category4",0.172709241093561,0.00142462763797765,"insured_private",0.155803793497644,0.0152013029028606,10.2493710238696,0.126007132344996,0.185600454650292
"1x physical_health-1",2.26653747242453e-06,0.000133908879653027,"insured_private",0.183585426023601,0.0138353734498216,13.2692786854964,0.156466175967272,0.210704676079929
"2x physical_health-1",4.53307494484907e-06,0.000267817759308807,"insured_private",0.183557332582322,0.0138344626332675,13.2681216067565,0.156439867852712,0.210674797311932
"3x physical_health-1",6.7996124172736e-06,0.000401726638967337,"insured_private",0.183529239077368,0.013833551752615,13.26696443252,0.156413559800118,0.210644918354617
"1x education_years",0.0245230911306754,0.010678926839514,"insured_private",0.157191850907826,0.0139341219547597,11.2810732831379,0.129879040091622,0.18450466172403
"2x education_years",0.0490461822613509,0.021384142530681,"insured_private",0.130060232019693,0.0140360816282863,9.26613534062017,0.102547566107994,0.157572897931392
"3x education_years",0.0735692733920263,0.0321174886940731,"insured_private",0.102174999441933,0.0141424391880526,7.22470841721909,0.0744538579679984,0.129896140915868
"1x age",0.00968149748821471,0.0575710838575231,"insured_private",0.14535718551258,0.0134975930110414,10.7691190120841,0.118900031945127,0.171814339080033
"2x age",0.0193629949764294,0.115163941728033,"insured_private",0.106716817648515,0.01314306759216,8.11962784945069,0.0809545830524105,0.132479052244619
"3x age",0.0290444924646441,0.1727791453869,"insured_private",0.0676836847944547,0.0127711659016936,5.29972637701616,0.0426504290709994,0.09271694051791
